source ip,destination ip,source port ,destination port,length,class
5.517754835,5.313820525,5.633498523,5.219944401,1.197457481,1
8.042914887,6.705186072,8.175221625,6.598644301,1.224825614,1
7.957635786,6.76471942,8.124239457,6.652628829,1.281876721,1
7.782696176,6.871465783,8.011488417,6.700532409,1.385687079,1
7.943469119,6.791675331,8.083101744,6.680623037,1.239474233,1
7.931668236,6.803531636,8.093874505,6.672917629,1.276950666,1
7.959550385,6.889719563,8.083104836,6.793839415,1.210546639,1
7.634921795,6.97894505,7.918310502,6.74068517,1.466319623,1
6.157850887,4.626312924,6.360992301,4.539901324,1.347749431,1
7.810681482,6.861589893,8.013568894,6.717437033,1.346567525,1
8.045480797,6.682519117,8.208831938,6.559704469,1.27850913,1
7.786802277,6.894904077,8.009542311,6.712005447,1.372554257,1
4.723472064,4.823628415,4.951513102,4.656552445,1.378776874,1
7.40557288,7.068633201,7.585493765,6.908896558,1.300498691,1
7.870017698,6.819532691,8.078015628,6.657685825,1.358482273,1
5.301537866,5.490787422,5.590114352,5.297780701,1.46780443,1
7.907640553,6.951104807,8.00735071,6.867328088,1.168637158,1
7.850146552,6.827292584,8.065507901,6.672937948,1.362544913,1
7.862743512,6.880141324,8.078487625,6.74966069,1.371967178,1
7.989388294,6.73262477,8.135455916,6.632686294,1.253289476,1
7.831407361,7.058862641,8.013845311,6.915486002,1.305102939,1
7.75761299,6.979628313,7.920917463,6.84412378,1.274477729,1
7.692874243,7.007207145,7.899461483,6.831956166,1.343928473,1
7.856388206,6.838617722,8.114672893,6.65567885,1.443233098,1
7.888870545,6.830600007,8.054221255,6.704836165,1.281319622,1
8.001916755,6.732891832,8.15121188,6.636021192,1.25878817,1
7.906993076,6.810010559,8.082023107,6.672102401,1.297137611,1
7.857331621,6.952645884,8.025505773,6.821074522,1.285948939,1
6.949330802,6.145284359,7.151014799,6.007153854,1.33652965,1
1.921928095,1.370950595,1.921928095,1.370950595,0.970950595,1
4.895864817,5.107447008,5.155112184,4.928483423,1.409062282,1
1.584962501,0.918295834,1.584962501,0.918295834,0.918295834,1
1.79248125,1.79248125,1.79248125,1.79248125,1,1
7.87680515,6.903302647,8.031325256,6.698385344,1.347347221,1
5.851471896,5.927957597,6.097932633,5.736650011,1.402994405,1
5.186212706,5.296160215,5.359834005,5.154391394,1.284208288,1
7.621105722,7.058787629,7.852373978,6.850192303,1.378985692,1
4.585966598,4.467877737,4.772680518,4.345544101,1.319149256,1
1.360964047,2.370950595,1.685475297,2.370950595,0.921928095,1
2.128085279,2.128085279,2.521640636,1.664497779,1.556656708,1
7.794342281,6.895786688,7.986176876,6.749256317,1.324967803,1
3.841846522,3.990096739,4.07952192,3.850219859,1.395668243,1
5.273931676,5.454698349,5.558150068,5.234879616,1.470008124,1
6.03628387,5.596636026,6.150944671,5.504070751,1.194412011,1
5.854413651,4.949063709,5.995344325,4.825902401,1.244133236,1
8.027405032,6.705514521,8.18000488,6.600913254,1.266267542,1
7.876977411,6.86081737,8.032679131,6.747973616,1.267231703,1
7.479476592,6.720170234,7.719844024,6.520843952,1.396274377,1
7.718351346,6.985845849,7.931209959,6.800973821,1.354930294,1
7.38657426,7.299874722,7.66050192,6.920533157,1.534280006,1
1.921928095,1.370950595,1.921928095,1.370950595,0.970950595,1
7.844370306,6.892768659,7.978009043,6.799897378,1.231480967,1
7.670790254,6.97893165,7.926473114,6.766487476,1.42615461,1
7.718400785,6.930605047,7.969461552,6.731120624,1.421290954,1
7.403082553,6.851351054,7.626179872,6.655614164,1.367112199,1
7.779682105,7.057672139,7.958805205,6.830871942,1.379275036,1
7.419358359,6.584126308,7.608397232,6.441532383,1.315297777,1
8.007087143,6.755056854,8.127549798,6.660683937,1.207534552,1
7.769716881,7.011651311,7.857574067,6.939623344,1.152965255,1
8.088462287,6.609972882,8.270304225,6.486791269,1.313653073,1
7.471177593,7.254550636,7.754075586,6.981823172,1.459889275,1
7.453516414,7.275027257,7.630357889,7.124689847,1.298110696,1
7.704731476,7.195213442,7.873903344,7.048465035,1.278507444,1
1.584962501,0.918295834,1.584962501,0.918295834,0.918295834,1
7.535604346,6.850722468,7.731071529,6.681785467,1.327840278,1
4.395555754,3.954867629,4.395555754,3.954867629,1.046642635,1
6.502488632,5.968377887,6.688775551,5.834701738,1.30924948,1
4.931989059,5.055554224,5.221771832,4.865692265,1.439245551,1
7.797915494,6.947785914,7.955599773,6.82743525,1.266063512,1
1.584962501,0.918295834,1.584962501,0.918295834,0.918295834,1
7.827803613,6.816437475,8.062959772,6.648008338,1.399151089,1
7.687652445,6.984915492,7.942435121,6.771975058,1.423409316,1
7.218969928,6.882717823,7.458815393,6.677086315,1.387564785,1
3.558866448,3.347222502,3.558866448,3.347222502,0.999198354,1
2.128085279,2.128085279,2.521640636,1.664497779,1.556656708,1
4.028223421,3.966673801,4.234228021,3.754167022,1.331899794,1
3.861342765,3.965776322,4.126104105,3.812596082,1.5174943,1
7.677252337,7.052836066,7.843240714,6.918265524,1.278758624,1
7.948992869,6.794591357,8.121141062,6.649330008,1.286197122,1
5.416291321,5.425233378,5.584840824,5.28209654,1.287303632,1
7.933842793,6.777180344,8.103205633,6.646733082,1.288948807,1
3.558866448,3.453445298,3.663458299,3.347222502,1.176679668,1
7.484515176,6.788396652,7.686948988,6.631755783,1.345785023,1
